LAB SAMPLE ID,SITE,Core Depth,Ave Core depth (cm),HG SPIKE,TIME POINT,COLLECTION_DATE,SAMPLE TYPE,SAMPLING COMMENT,SAMPLING METHOD,FILTER,SAMPLE PRESERVATION,PARAMETER,ANALYSIS DATE,SOURCE FILE,VALUE,DL,DL Flag,UNITS,Dilution,Replicate,ID Recovery
CM15-1001,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-Br,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,207,14.11,,µM,10,,
CM15-1001,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-Cl,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,186700,37.78,,µM,10,,
CM15-1001,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-F,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,126.3,8.171,,µM,10,,
CM15-1001,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-NO2,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,6.77,6.77,<,µM,10,,
CM15-1001,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-NO3,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,9.99,9.99,<,µM,10,,
CM15-1001,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-PO4,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,10.54,10.54,<,µM,10,,
CM15-1001,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-SO4,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,1.41,15.03,,µM,10,,
CM15-1002,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-Br,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,207,14.11,,µM,10,,
CM15-1002,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-Cl,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,187000,37.78,,µM,10,,
CM15-1002,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-F,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,57.47,8.171,,µM,10,,
