site name,site code,state,system,subsite,latitude,longitude,individual ID,sample date,sample month,sample day,sample year,taxonomic group,Genus,species,common name,wet weight (g),dry weight (g),length (mm),width (mm),MeHg (ng/g DW),iHg (ng/g DW),THg sum species (ng/g DW),THg DMA (ng/g DW),tissue,n (if composite),notes,notes 2,notes 3,DORM % recovery,TORT2 % recovery,analysis duplicate RPD,,file name for data pull,,,MeHg DL,iHg DL
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,8302,19-May-16,May,19,2016,teleost,Fundulus,heteroclitus,mummichog,9.4667,2.0445,91,,544.16,,,480.18,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,8303,19-May-16,May,19,2016,teleost,Fundulus,heteroclitus,mummichog,11.3421,2.3555,91,,693.14,,,632.36,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,8304,19-May-16,May,19,2016,teleost,Fundulus,heteroclitus,mummichog,9.1067,1.9988,88,,1175.38,,,1092.99,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,8305,19-May-16,May,19,2016,teleost,Fundulus,heteroclitus,mummichog,7.427,1.6008,82,,288.70,,,356.38,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,8306,19-May-16,May,19,2016,teleost,Fundulus,heteroclitus,mummichog,10.276,2.2649,90,,521.39,,,462.11,,,M,,,,108,6,,010917 Killifish results and QC,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8307,20-May-16,May,20,2016,teleost,Fundulus,heteroclitus,mummichog,6.5469,1.4954,83,,245.84,,,278.40,,,F,,,,108,6,,010917 Killifish results and QC,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8308,20-May-16,May,20,2016,teleost,Fundulus,heteroclitus,mummichog,8.7127,1.9701,92,,602.13,,,841.48,,,F,,,,108,6,,010917 Killifish results and QC,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8309,20-May-16,May,20,2016,teleost,Fundulus,heteroclitus,mummichog,9.3545,2.0956,83,,520.06,,,415.83,,,M,,,,108,6,,010917 Killifish results and QC,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8310,20-May-16,May,20,2016,teleost,Fundulus,heteroclitus,mummichog,10.9807,2.3121,91,,377.80,,,424.37,,,F,,,,108,6,,010917 Killifish results and QC,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8311,20-May-16,May,20,2016,teleost,Fundulus,heteroclitus,mummichog,8.239,1.6917,83,,340.96,,,437.37,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8312,17-May-16,May,17,2016,teleost,Fundulus,heteroclitus,mummichog,9.8307,2.6078,90,,446.41,,,479.29,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8313,17-May-16,May,17,2016,teleost,Fundulus,heteroclitus,mummichog,7.8906,1.8009,81,,481.09,,,560.55,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8314,17-May-16,May,17,2016,teleost,Fundulus,heteroclitus,mummichog,7.6506,1.6336,82,,625.53,,,915.00,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8315,17-May-16,May,17,2016,teleost,Fundulus,heteroclitus,mummichog,8.6499,1.9428,85,,313.47,,,390.24,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8316,17-May-16,May,17,2016,teleost,Fundulus,heteroclitus,mummichog,9.5275,2.1389,88,,306.67,,,352.28,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8317,17-May-16,May,17,2016,teleost,Fundulus,heteroclitus,mummichog,12.6763,3.1375,94,,263.49,,,344.07,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8318,17-May-16,May,17,2016,teleost,Fundulus,heteroclitus,mummichog,11.1686,2.7195,89,,146.58,,,238.69,,,F,,,,108,6,,010917 Killifish results and QC,,,,
