site name,site code,state,system,subsite,latitude,longitude,individual ID,sample_date,sample date,sample month,sample year,sample type,sample depth (cm),sediment MeHg (ng/g DW),mehg_units,sediment THg (ng/g DW),total_hg_units,%LOI,%MeHg,,,,notes,notes 2,notes 3,,,,,file name for data pull
Above,A,ME,Penobscot River,,44.76309,-68.80048,,07/01/2016,,July,2016,grab,0-2,1.62,(ng/g DW),74.1,(ng/g DW),4,2,,,,,,,,,,,
Above,A,ME,Penobscot River,,44.76309,-68.80048,,07/01/2016,,July,2016,grab,0-2,1.38,(ng/g DW),55.3,(ng/g DW),3.2,2,,,,,,,,,,,
Above,A,ME,Penobscot River,,44.76309,-68.80048,,07/01/2016,,July,2016,grab,0-2,2.25,(ng/g DW),17.6,(ng/g DW),2.3,13,,,,,,,,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,,07/01/2016,,July,2016,grab,0-2,40.69,(ng/g DW),10943.5,(ng/g DW),7.4,0,,,,,,,,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,,07/01/2016,,July,2016,grab,0-2,50.22,(ng/g DW),56203,(ng/g DW),10.6,0,,,,,,,,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,,07/01/2016,,July,2016,grab,0-2,96.68,(ng/g DW),40955.9,(ng/g DW),11.9,0,,,,,,,,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,,07/01/2016,,July,2016,grab,0-2,29.92,(ng/g DW),2119.7,(ng/g DW),11.5,1,,,,,,,,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,,07/01/2016,,July,2016,grab,0-2,15.59,(ng/g DW),2439.3,(ng/g DW),10.6,1,,,,,,,,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,,07/01/2016,,July,2016,grab,0-2,25.43,(ng/g DW),2068.9,(ng/g DW),9.1,1,,,,,,,,,,,
Marsh,M,ME,Penobscot River,,44.59109,-68.86432,,07/01/2016,,July,2016,grab,0-2,27.76,(ng/g DW),901.8,(ng/g DW),16.1,3,,,,,,,,,,,
Marsh,M,ME,Penobscot River,,44.59109,-68.86432,,07/01/2016,,July,2016,grab,0-2,21.36,(ng/g DW),643.3,(ng/g DW),10.9,3,,,,,,,,,,,
Marsh,M,ME,Penobscot River,,44.59109,-68.86432,,07/01/2016,,July,2016,grab,0-2,12.19,(ng/g DW),843.1,(ng/g DW),14.6,1,,,,,,,,,,,
Moose Point,MP,ME,Penobscot River,,44.43203,-68.94191,,07/01/2016,,July,2016,grab,0-2,0.27,(ng/g DW),20.5,(ng/g DW),3.3,1,,,,,,,,,,,
Moose Point,MP,ME,Penobscot River,,44.43203,-68.94191,,07/01/2016,,July,2016,grab,0-2,0.2,(ng/g DW),18.1,(ng/g DW),3.3,1,,,,,,,,,,,
Moose Point,MP,ME,Penobscot River,,44.43203,-68.94191,,07/01/2016,,July,2016,grab,0-2,0.75,(ng/g DW),20,(ng/g DW),3.4,4,,,,,,,,,,,
Orrington,O,ME,Penobscot River,,44.69021,-68.81847,,07/01/2016,,July,2016,grab,0-2,30.56,(ng/g DW),791.8,(ng/g DW),16,4,,,,,,,,,,,
Orrington,O,ME,Penobscot River,,44.69021,-68.81847,,07/01/2016,,July,2016,grab,0-2,40.22,(ng/g DW),1183,(ng/g DW),23.4,3,,,,,,,,,,,
Orrington,O,ME,Penobscot River,,44.69021,-68.81847,,07/01/2016,,July,2016,grab,0-2,35.52,(ng/g DW),985.1,(ng/g DW),15.5,4,,,,,,,,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,,07/01/2016,,July,2016,grab,0-2,7.7,(ng/g DW),2730.4,(ng/g DW),10.21,0,,,,,,,,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,,07/01/2016,,July,2016,grab,0-2,6.25,(ng/g DW),1264.35,(ng/g DW),8.98,0,,,,,,,,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,,07/01/2016,,July,2016,grab,0-2,8.44,(ng/g DW),3140.05,(ng/g DW),7.26,0,,,,,,,,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,,07/01/2016,,July,2016,grab,0-2,3.43,(ng/g DW),210.2,(ng/g DW),5.3,2,,,,,,,,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,,07/01/2016,,July,2016,grab,0-2,1.01,(ng/g DW),134,(ng/g DW),1.9,1,,,,,,,,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,,07/01/2016,,July,2016,grab,0-2,1.4,(ng/g DW),83.2,(ng/g DW),1.9,2,,,,,,,,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,,07/01/2016,,July,2016,grab,0-2,40.58,(ng/g DW),15711.85,(ng/g DW),11.08,0,,,,,,,,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,,07/01/2016,,July,2016,grab,0-2,38.62,(ng/g DW),13541.05,(ng/g DW),10.73,0,,,,,,,,,,,
