site name,site code,state,system,subsite,latitude,longitude,individual ID,sample date,sample month,sample day,sample year,taxonomic group,Genus,species,common name,wet weight N,wet weight mean,wet weight st. dev,wet weight min,wet weight max,wet weight median,dry weight N,dry weight mean,dry weight st. dev.,dry weight min,dry weight max,dry weight median,length N,length mean,length st dev,length min,length max,length median,MeHg N,MeHg mean,MeHg st dev,MeHg min,MeHg max,MeHg median,THg sum N,THg sum mean,THg sum st dev,THg sum min,THg sum max,THg sum median,DMA N,DMA mean,DMA st dev,DMA min,DMA max,DMA median,,,N,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,tidal cycle,dissolved MeHg (pM),dissolved THg (pM),DOC (ug/L),salinity,temp (deg C),conductivity (uS/cm),pH,DO %sat,DO (mg/L),TSS (mg/L),particulate MeHg (pmol/g),particulate THg (pmol/g),Cha (ug/L),Pha (ug/L),nitrate (ug/L),nitrite (ug/L as N),phosphate (ug/L as P),ammonia (ug/L as N)
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,,,May,,2016,,,,grass shrimp,5,0.38096,0.1135582362,0.2785,0.5678,0.3751,5,0.07306,0.0287986632,0.0452,0.1187,0.0732,5,30.2,2.2803508502,28,34,30,5,240.74368245,83.56741253,151.51894742,348.80412623,197.69058302,5,389.28388178,102.34115809,236.75172498,515.05001556,417.35389657,0,,,,,,3A,2016,May,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2,10.485213163,,7.9980480754,12.972378251,10.485213163,2,3013.35,,2289.1,3737.6,3013.35,2,5.85,,5.6,6.1,5.85,2,0.348237408,,0.3470777571,0.3493970589,0.348237408,High,0.219132447969722,13.5752148606772,5175.004941,9.8233333333,15.656666667,16765.666667,7.5966666667,,8.67,24,48.492432181,4873.4847788,25.031452282,8.5582822668,1303.346097,275.049924,156.3473995,1752.74042553191
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,,,May,,2016,,,,mummichog,5,8.70986,0.9645765097,7.6506,9.8307,8.6499,5,2.0248,0.37510014,1.6336,2.6078,1.9428,5,85.2,3.8340579025,81,90,85,5,434.63592056,132.09190066,306.6728668,625.53255565,446.40718167,0,,,,,,5,539.472,224.94358664,352.28,915,479.29,3A,2016,May,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2,10.485213163,,7.9980480754,12.972378251,10.485213163,2,3013.35,,2289.1,3737.6,3013.35,2,5.85,,5.6,6.1,5.85,2,0.348237408,,0.3470777571,0.3493970589,0.348237408,High,0.219132447969722,13.5752148606772,5175.004941,9.8233333333,15.656666667,16765.666667,7.5966666667,,8.67,24,48.492432181,4873.4847788,25.031452282,8.5582822668,1303.346097,275.049924,156.3473995,1752.74042553191
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,,,July,,2016,,,,grass shrimp,5,0.33734,0.0445303604,0.2937,0.4024,0.3193,5,0.06118,0.0073220216,0.0537,0.0705,0.0591,5,28.4,1.1401754251,27,30,28,5,615.01421493,178.58520602,378.54727285,854.79788958,607.83980256,5,790.64283766,178.34519195,534.68727883,983.26942156,855.66101337,0,,,,,,3A,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,7.4615990275,1.1129426599,6.2498849159,8.4382026922,7.6967094744,3,2378.2666667,986.18509208,1264.35,3140.05,2730.4,3,8.8183407788,1.480729263,7.2635579542,10.211805991,8.9796583914,3,0.3483112611,0.1266149743,0.2687282907,0.4943160451,0.2818894475,Rise,1.46035123357095,25.2003150381933,6525.1967031,9.9333333333,26.656666667,17490.333333,6.94,,3.4333333333,27.4,45.625655237,5972.4109103,19.641964557,4.7502601489,347.0718315,227.2933365,486.2367425,1124.51477272727
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,,,July,,2016,,,,mummichog,5,8.45,1.1639249439,6.9762,9.8923,8.5911,5,2.01984,0.4020403624,1.6264,2.6365,2.0551,5,83.4,3.5071355834,80,87,83,5,657.53900858,191.99663932,501.67589162,930.47535727,555.51598836,0,,,,,,5,826.682,402.77661082,386.48,1383.88,842.74,3A,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,7.4615990275,1.1129426599,6.2498849159,8.4382026922,7.6967094744,3,2378.2666667,986.18509208,1264.35,3140.05,2730.4,3,8.8183407788,1.480729263,7.2635579542,10.211805991,8.9796583914,3,0.3483112611,0.1266149743,0.2687282907,0.4943160451,0.2818894475,Rise,1.46035123357095,25.2003150381933,6525.1967031,9.9333333333,26.656666667,17490.333333,6.94,,3.4333333333,27.4,45.625655237,5972.4109103,19.641964557,4.7502601489,347.0718315,227.2933365,486.2367425,1124.51477272727
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,,,July,,2016,,,,silverside,5,1.68504,0.2012237884,1.4336,1.9313,1.6611,5,0.37898,0.0561986388,0.3043,0.4544,0.3723,5,61.8,2.7522717889,59,65,60.5,0,,,,,,0,,,,,,5,1379.6628667,384.01625026,1031.6603293,1981.9433735,1393.2757485,3A,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,7.4615990275,1.1129426599,6.2498849159,8.4382026922,7.6967094744,3,2378.2666667,986.18509208,1264.35,3140.05,2730.4,3,8.8183407788,1.480729263,7.2635579542,10.211805991,8.9796583914,3,0.3483112611,0.1266149743,0.2687282907,0.4943160451,0.2818894475,Rise,1.46035123357095,25.2003150381933,6525.1967031,9.9333333333,26.656666667,17490.333333,6.94,,3.4333333333,27.4,45.625655237,5972.4109103,19.641964557,4.7502601489,347.0718315,227.2933365,486.2367425,1124.51477272727
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,,,May,,2016,,,,grass shrimp,5,0.57958,0.1538563356,0.3174,0.6909,0.624,5,0.1186,0.0404521322,0.0538,0.1641,0.1257,5,32,3.3166247904,28,35,33,5,361.12837582,88.069850021,254.27790601,477.88444176,332.73745191,5,481.99135271,80.177680977,392.39957523,572.45338159,458.98191192,0,,,,,,EU,2016,May,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2,28.099845891,,16.639504454,39.560187328,28.099845891,2,5847.1,,3614.6,8079.6,5847.1,2,8.65,,4.5,12.8,8.65,2,0.4749860172,,0.4603415165,0.4896305179,0.4749860172,High,0.737867411378903,32.8322006006217,6530.3291182,7.1266666667,16.1125,12429.666667,8.4475,,,29.133333333,150.03640463,11357.225178,112.32180461,0.05,717.3855525,119.893377,88.5416815,271.921363636364
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,,,May,,2016,,,,mummichog,5,8.76676,1.6168024116,6.5469,10.9807,8.7127,5,1.91298,0.3237465938,1.4954,2.3121,1.9701,5,86.4,4.669047012,83,92,83,5,417.35721415,142.74649729,245.84035749,602.12819303,377.79732605,0,,,,,,5,479.49,212.33161128,278.4,841.48,424.37,EU,2016,May,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2,28.099845891,,16.639504454,39.560187328,28.099845891,2,5847.1,,3614.6,8079.6,5847.1,2,8.65,,4.5,12.8,8.65,2,0.4749860172,,0.4603415165,0.4896305179,0.4749860172,High,0.737867411378903,32.8322006006217,6530.3291182,7.1266666667,16.1125,12429.666667,8.4475,,,29.133333333,150.03640463,11357.225178,112.32180461,0.05,717.3855525,119.893377,88.5416815,271.921363636364
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,,,July,,2016,,,,grass shrimp,5,0.33916,0.037872127,0.2827,0.3791,0.3489,5,0.06512,0.0118573606,0.0491,0.0778,0.0686,5,28.9,1.0246950766,28,30.5,29,5,864.64466573,88.381483855,769.41348655,984.03815252,842.17998542,5,1129.5194737,135.14445105,1008.3511843,1338.3023383,1145.0388868,0,,,,,,EU,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,62.527058132,29.955370354,40.685206199,96.675647372,50.220320825,3,36034.133333,23027.666521,10943.5,56203,40955.9,3,9.9666666667,2.315887159,7.4,11.9,10.6,3,0.232392824,0.1412454042,0.0893552316,0.3717750829,0.2360481576,Rise,2.32703999159451,45.7472299377128,6718.7620711,8.8666666667,25.843333333,15512,7.0166666667,,3.1033333333,35.266666667,109.91182372,17116.259322,18.140831786,4.4212431027,300.0514695,114.6277185,459.114765,436.311428571429
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,,,July,,2016,,,,mummichog,5,8.62132,1.523711243,6.6885,10.8541,8.5816,5,1.94248,0.3438688951,1.4421,2.3918,1.9554,5,82.2,5.2153619242,76,89,84,5,830.0757287,498.16266357,331.69160471,1464.9990336,679.76717031,0,,,,,,5,995.006,664.74346201,388.83,1746.33,771.79,EU,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,62.527058132,29.955370354,40.685206199,96.675647372,50.220320825,3,36034.133333,23027.666521,10943.5,56203,40955.9,3,9.9666666667,2.315887159,7.4,11.9,10.6,3,0.232392824,0.1412454042,0.0893552316,0.3717750829,0.2360481576,Rise,2.32703999159451,45.7472299377128,6718.7620711,8.8666666667,25.843333333,15512,7.0166666667,,3.1033333333,35.266666667,109.91182372,17116.259322,18.140831786,4.4212431027,300.0514695,114.6277185,459.114765,436.311428571429
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,,,May,,2016,,,,grass shrimp,5,0.47958,0.1601972753,0.3569,0.7359,0.3938,5,0.0977,0.0402272917,0.0669,0.1584,0.0756,5,29.8,1.9235384062,28,33,29,5,127.78574433,104.21762918,40.796670575,299.9162681,80.041140066,5,220.8270612,115.59515663,111.7214746,410.88279479,212.84913196,0,,,,,,LH,2016,May,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2,7.7082504576,,4.0752582508,11.341242664,7.7082504576,2,1672.9,,1645.2,1700.6,1672.9,2,7.65,,7.4,7.9,7.65,2,0.4573012469,,0.2477059477,0.6668965462,0.4573012469,High,0.173276124764146,11.7736467115464,4048.8064362,14.51,14.836666667,23998.333333,7.25,,7.3433333333,22.15,17.621899751,3157.0587906,5.9998387125,0.8732136191,1234.7398275,154.3572765,141.1504205,728.072872340425
