Sampling date,Days post-dosing,Box #,Sample Type,Box Zone,Depth interval (in cm),Sample Replicate Number,Analyte,Analyte Units,199Hg-FeS,nano-200HgS,201Hg-humic,202Hg2+,Ambient Hg
#VALUE!,2,16,s,A,0-2,1A,TotHg,ng/g dw,5.44,5.42,4.58,6.75,24.62
#VALUE!,2,16,s,A,0-2,1B,TotHg,ng/g dw,2.22,2.36,1.85,3.32,15.16
#VALUE!,2,16,s,A,0-2,1C,TotHg,ng/g dw,29.17,21.41,19.57,22.41,12.51
#VALUE!,2,17,s,A,0-2,1A,TotHg,ng/g dw,1.71,2.13,1.38,2.84,14.46
#VALUE!,2,17,s,A,0-2,1B,TotHg,ng/g dw,4.45,4.25,3.83,5.36,12.96
#VALUE!,2,17,s,A,0-2,1C,TotHg,ng/g dw,5.56,4.71,3.92,5.86,13.11
#VALUE!,2,18,s,A,0-2,1A,TotHg,ng/g dw,26.10,23.99,22.69,22.90,18.04
#VALUE!,2,18,s,A,0-2,1B,TotHg,ng/g dw,4.40,3.73,3.40,4.68,12.30
#VALUE!,2,18,s,A,0-2,1C,TotHg,ng/g dw,6.22,5.55,5.42,6.13,12.33
#VALUE!,2,16,s,A,0-2,1A,MeHg,ng/g dw,0.1462,0.2656,0.1421,0.3142,1.0167
#VALUE!,2,16,s,A,0-2,1B,MeHg,ng/g dw,0.1785,0.2431,0.2002,0.3745,0.8486
#VALUE!,2,16,s,A,0-2,1C,MeHg,ng/g dw,0.1773,0.2724,0.3226,0.5111,0.7334
#VALUE!,2,17,s,A,0-2,1A,MeHg,ng/g dw,0.1587,0.1808,0.1083,0.2343,0.7608
#VALUE!,2,17,s,A,0-2,1B,MeHg,ng/g dw,0.2769,0.3758,0.2412,0.5494,1.5301
#VALUE!,2,17,s,A,0-2,1C,MeHg,ng/g dw,0.2368,0.3442,0.2534,0.5028,1.2200
#VALUE!,2,18,s,A,0-2,1A,MeHg,ng/g dw,0.2055,0.2668,0.1626,0.3365,1.0729
#VALUE!,2,18,s,A,0-2,1B,MeHg,ng/g dw,0.1702,0.2381,0.1380,0.3161,1.0308
#VALUE!,2,18,s,A,0-2,1C,MeHg,ng/g dw,0.1458,0.2069,0.1331,0.2706,0.7678
#VALUE!,5,16,s,A,0-2,2A,TotHg,ng/g dw,26.40,24.40,23.18,25.01,14.44
#VALUE!,5,16,s,A,0-2,2B,TotHg,ng/g dw,12.35,11.93,10.65,13.58,11.32
#VALUE!,5,16,s,A,0-2,2C,TotHg,ng/g dw,37.48,36.94,33.26,40.27,12.86
#VALUE!,5,17,s,A,0-2,2A,TotHg,ng/g dw,4.72,5.77,5.26,6.77,12.58
#VALUE!,5,17,s,A,0-2,2B,TotHg,ng/g dw,172.33,149.39,162.56,165.01,14.68
#VALUE!,5,17,s,A,0-2,2C,TotHg,ng/g dw,4.85,4.38,3.54,5.19,14.91
#VALUE!,5,18,s,A,0-2,2A,TotHg,ng/g dw,25.91,24.33,22.64,25.40,20.34
#VALUE!,5,18,s,A,0-2,2B,TotHg,ng/g dw,8.92,8.73,7.83,10.57,12.11
#VALUE!,5,18,s,A,0-2,2C,TotHg,ng/g dw,0.76,1.59,1.15,2.62,12.99
#VALUE!,5,16,s,A,0-2,2A,MeHg,ng/g dw,0.1171,0.1591,0.1101,0.2416,0.4210
#VALUE!,5,16,s,A,0-2,2B,MeHg,ng/g dw,0.3974,0.6270,0.7368,1.1888,0.9575
#VALUE!,5,16,s,A,0-2,2C,MeHg,ng/g dw,0.2790,0.4014,0.2811,0.6188,0.9852
#VALUE!,5,17,s,A,0-2,2A,MeHg,ng/g dw,0.5411,0.8862,1.1473,1.6500,1.5632
#VALUE!,5,17,s,A,0-2,2B,MeHg,ng/g dw,0.2010,0.2925,0.2104,0.4937,0.5425
#VALUE!,5,17,s,A,0-2,2C,MeHg,ng/g dw,0.3870,0.5425,0.4120,0.8508,1.0182
#VALUE!,5,18,s,A,0-2,2A,MeHg,ng/g dw,1.0804,1.7189,2.8100,3.6022,1.8148
#VALUE!,5,18,s,A,0-2,2B,MeHg,ng/g dw,0.6936,1.0965,1.5154,2.3706,1.4285
#VALUE!,5,18,s,A,0-2,2C,MeHg,ng/g dw,0.2556,0.3630,0.2444,0.5434,0.7479
#VALUE!,7,16,s,A,0-2,3A,TotHg,ng/g dw,125.23,125.96,114.06,121.12,22.17
#VALUE!,7,16,s,A,0-2,3B,TotHg,ng/g dw,28.19,27.83,25.47,28.68,15.22
#VALUE!,7,16,s,A,0-2,3C,TotHg,ng/g dw,158.26,136.68,133.64,150.02,17.91
#VALUE!,7,17,s,A,0-2,3A,TotHg,ng/g dw,12.46,11.11,10.11,11.81,13.63
#VALUE!,7,17,s,A,0-2,3B,TotHg,ng/g dw,22.20,23.14,20.61,27.34,12.96
#VALUE!,7,17,s,A,0-2,3C,TotHg,ng/g dw,9.42,10.53,9.20,11.75,13.32
#VALUE!,7,18,s,A,0-2,3A,TotHg,ng/g dw,66.31,60.78,59.69,66.26,16.12
#VALUE!,7,18,s,A,0-2,3B,TotHg,ng/g dw,180.13,160.20,152.37,158.10,13.99
#VALUE!,7,18,s,A,0-2,3C,TotHg,ng/g dw,673.79,589.09,546.02,585.86,23.69
#VALUE!,7,16,s,A,0-2,3A,MeHg,ng/g dw,0.1240,0.1746,0.1384,0.2539,0.4384
#VALUE!,7,16,s,A,0-2,3B,MeHg,ng/g dw,0.1800,0.2575,0.2887,0.4176,0.4800
#VALUE!,7,16,s,A,0-2,3C,MeHg,ng/g dw,0.1570,0.2176,0.2389,0.3641,0.4652
#VALUE!,7,17,s,A,0-2,3A,MeHg,ng/g dw,0.2292,0.3502,0.3192,0.5694,0.9262
#VALUE!,7,17,s,A,0-2,3B,MeHg,ng/g dw,0.1811,0.2767,0.3313,0.5307,0.4815
#VALUE!,7,17,s,A,0-2,3C,MeHg,ng/g dw,0.1245,0.1701,0.1393,0.2911,0.4740
#VALUE!,7,18,s,A,0-2,3A,MeHg,ng/g dw,0.1679,0.2570,0.2457,0.4023,0.5569
#VALUE!,7,18,s,A,0-2,3B,MeHg,ng/g dw,0.3106,0.5488,0.8200,1.0690,0.4985
#VALUE!,7,18,s,A,0-2,3C,MeHg,ng/g dw,0.1990,0.2753,0.1999,0.4178,0.6054
#VALUE!,14,16,s,A,0-2,4A,TotHg,ng/g dw,125.23,125.96,114.06,121.12,22.17
#VALUE!,14,16,s,A,0-2,4B,TotHg,ng/g dw,28.19,27.83,25.47,28.68,15.22
#VALUE!,14,16,s,A,0-2,4C,TotHg,ng/g dw,158.26,136.68,133.64,150.02,17.91
#VALUE!,14,17,s,A,0-2,4A,TotHg,ng/g dw,12.46,11.11,10.11,11.81,13.63
#VALUE!,14,17,s,A,0-2,4B,TotHg,ng/g dw,22.20,23.14,20.61,27.34,12.96
#VALUE!,14,17,s,A,0-2,4C,TotHg,ng/g dw,9.42,10.53,9.20,11.75,13.32
#VALUE!,14,18,s,A,0-2,4A,TotHg,ng/g dw,66.31,60.78,59.69,66.26,16.12
#VALUE!,14,18,s,A,0-2,4B,TotHg,ng/g dw,180.13,160.20,152.37,158.10,13.99
#VALUE!,14,18,s,A,0-2,4C,TotHg,ng/g dw,673.79,589.09,546.02,585.86,23.69
#VALUE!,14,16,s,A,0-2,4A,MeHg,ng/g dw,0.8045,1.1926,1.5234,1.8583,1.4292
#VALUE!,14,16,s,A,0-2,4B,MeHg,ng/g dw,0.5556,0.8289,1.0696,1.3339,1.1259
#VALUE!,14,16,s,A,0-2,4C,MeHg,ng/g dw,1.0012,1.5564,2.3883,2.7741,1.0755
#VALUE!,14,17,s,A,0-2,4A,MeHg,ng/g dw,0.3431,0.4764,0.3902,0.6871,1.0498
#VALUE!,14,17,s,A,0-2,4B,MeHg,ng/g dw,0.7829,1.1989,1.3187,2.1014,1.8847
#VALUE!,14,17,s,A,0-2,4C,MeHg,ng/g dw,1.7228,3.1969,5.6944,5.9188,1.1965
#VALUE!,14,18,s,A,0-2,4A,MeHg,ng/g dw,0.6173,1.0277,1.4424,1.7260,1.1698
#VALUE!,14,18,s,A,0-2,4B,MeHg,ng/g dw,1.0533,1.8863,2.8901,3.1300,1.4035
#VALUE!,14,18,s,A,0-2,4C,MeHg,ng/g dw,0.3446,0.4868,0.3428,0.7196,1.2088
