sample_id, ¹⁹⁹Hg-FeS,Nano²⁰⁰HgS ,²⁰¹Hg-humic acid,dissolved ²⁰²Hg²⁺,Hg -Ambient
2-16-S-1A,0.1462,0.2656,0.1421,0.3142,1.0167
2-16-S-1B,0.1785,0.2431,0.2002,0.3745,0.8486
2-16-S-1C,0.1773,0.2724,0.3226,0.5111,0.7334
2-17-S-1A,0.1587,0.1808,0.1083,0.2343,0.7608
2-17-S-1B,0.2769,0.3758,0.2412,0.5494,1.5301
2-17-S-1C,0.2368,0.3442,0.2534,0.5028,1.2200
2-18-S-1A,0.2055,0.2668,0.1626,0.3365,1.0729
2-18-S-1B,0.1702,0.2381,0.1380,0.3161,1.0308
2-18-S-1C,0.1458,0.2069,0.1331,0.2706,0.7678
5-16-S-3a,0.1171,0.1591,0.1101,0.2416,0.4210
5-16-S-3b,0.3974,0.6270,0.7368,1.1888,0.9575
5-16-S-3c,0.2790,0.4014,0.2811,0.6188,0.9852
5-17-S-3a,0.5411,0.8862,1.1473,1.6500,1.5632
5-17-S-3b,0.2010,0.2925,0.2104,0.4937,0.5425
5-17-S-3c,0.3870,0.5425,0.4120,0.8508,1.0182
5-18-S-3a,1.0804,1.7189,2.8100,3.6022,1.8148
5-18-S-3b,0.6936,1.0965,1.5154,2.3706,1.4285
5-18-S-3c,0.2556,0.3630,0.2444,0.5434,0.7479
7-16-S-3a,0.1240,0.1746,0.1384,0.2539,0.4384
7-16-S-3b,0.1800,0.2575,0.2887,0.4176,0.4800
7-16-S-3c,0.1570,0.2176,0.2389,0.3641,0.4652
7-17-S-3a,0.2292,0.3502,0.3192,0.5694,0.9262
7-17-S-3b,0.1811,0.2767,0.3313,0.5307,0.4815
7-17-S-3c,0.1245,0.1701,0.1393,0.2911,0.4740
7-18-S-3a,0.1679,0.2570,0.2457,0.4023,0.5569
7-18-S-3b,0.3106,0.5488,0.8200,1.0690,0.4985
7-18-S-3c,0.1990,0.2753,0.1999,0.4178,0.6054
14-16-S-1,0.8045,1.1926,1.5234,1.8583,1.4292
14-16-S-2,0.5556,0.8289,1.0696,1.3339,1.1259
14-16-S-3,1.0012,1.5564,2.3883,2.7741,1.0755
14-17-S-1,0.3431,0.4764,0.3902,0.6871,1.0498
14-17-S-2,0.7829,1.1989,1.3187,2.1014,1.8847
