Sampling date,Days post-dosing,Box #,Sample Type,Box Zone,Sample Replicate Number,Fraction,Analyte,Analyte units,199Hg-FeS,nano-200HgS,201Hg-humic ,202Hg2+
8/22/2017,7,16,sF1,A,a,f1,TotHg,ng/g,0.005191,0.0019483,0.016747775,0.010941525
8/22/2017,7,16,sF1,A,b,f1,TotHg,ng/g,0.043398,0.0446364,0.060745491,0.05911706
8/22/2017,7,16,sF1,A,c,f1,TotHg,ng/g,0.117125,0.1254701,0.138085563,0.131614265
8/22/2017,7,16,sF2,A,a,f2,TotHg,ng/g,0.015493,0.0064899,0.021567497,0.015264272
8/22/2017,7,16,sF2,A,b,f2,TotHg,ng/g,0.044574,0.0262288,0.054444298,0.046651204
8/22/2017,7,16,sF2,A,c,f2,TotHg,ng/g,0.08156,0.0450481,0.065909594,0.060165799
8/22/2017,7,16,sF3,A,a,f3,TotHg,ng/g,0.724189,0.2504309,0.686519099,0.358376029
8/22/2017,7,16,sF3,A,b,f3,TotHg,ng/g,2.564444,1.5867059,2.243486385,1.716736236
8/22/2017,7,16,sF3,A,c,f3,TotHg,ng/g,2.382164,1.4303269,2.052473389,1.574346814
8/22/2017,7,16,sF5,A,b,f5,TotHg,ng/g,0.0194,0.0092595,0.020072238,0.015169884
8/22/2017,7,16,sF5,A,c,f5,TotHg,ng/g,0.012588,0.0053829,0.018340139,0.014291641
8/22/2017,7,17,sF1,A,a,f1,TotHg,ng/g,0.025592,0.0284807,0.040941933,0.039120664
8/22/2017,7,17,sF1,A,b,f1,TotHg,ng/g,0.03746,0.0296738,0.046305878,0.054777045
8/22/2017,7,17,sF1,A,c,f1,TotHg,ng/g,0.009952,0.011532,0.024672354,0.04272397
8/22/2017,7,17,sF2,A,a,f2,TotHg,ng/g,0.026634,0.0255063,0.047850114,0.045679464
8/22/2017,7,17,sF2,A,b,f2,TotHg,ng/g,0.037436,0.0347896,0.073258713,0.088592071
8/22/2017,7,17,sF2,A,c,f2,TotHg,ng/g,0.014125,0.0108795,0.02123827,0.02745463
8/22/2017,7,17,sF3,A,a,f3,TotHg,ng/g,2.027558,1.5256523,2.277650962,1.808571462
8/22/2017,7,17,sF3,A,b,f3,TotHg,ng/g,1.971422,1.4967924,1.824022241,2.103116416
8/22/2017,7,17,sF3,A,c,f3,TotHg,ng/g,0.520562,0.4908203,0.937374065,1.860198355
8/22/2017,7,17,sF5,A,a,f5,TotHg,ng/g,0.024264,0.0121481,0.024558882,0.017842984
8/22/2017,7,17,sF5,A,b,f5,TotHg,ng/g,0.008127,0.0017125,0.010535172,0.010263293
