, ¹⁹⁹Hg-FeS,Nano²⁰⁰HgS ,²⁰¹Hg-humic acid,dissolved ²⁰²Hg²⁺,Hg -Ambient
2-16-S-1A,5.44,5.42,4.58,6.75,24.62
2-16-S-1B,2.22,2.36,1.85,3.32,15.16
2-16-S-1C,29.17,21.41,19.57,22.41,12.51
2-17-S-1A,1.71,2.13,1.38,2.84,14.46
2-17-S-1B,4.45,4.25,3.83,5.36,12.96
2-17-S-1C,5.56,4.71,3.92,5.86,13.11
2-18-S-1A,26.10,23.99,22.69,22.90,18.04
2-18-S-1B,4.40,3.73,3.40,4.68,12.30
2-18-S-1C,6.22,5.55,5.42,6.13,12.33
5-16-S-3a,26.40,24.40,23.18,25.01,14.44
5-16-S-3b,12.35,11.93,10.65,13.58,11.32
5-16-S-3c,37.48,36.94,33.26,40.27,12.86
5-17-S-3a,4.72,5.77,5.26,6.77,12.58
5-17-S-3b,172.33,149.39,162.56,165.01,14.68
5-17-S-3c,4.85,4.38,3.54,5.19,14.91
5-18-S-3a,25.91,24.33,22.64,25.40,20.34
5-18-S-3b,8.92,8.73,7.83,10.57,12.11
5-18-S-3c,0.76,1.59,1.15,2.62,12.99
7-16-S-3a,125.23,125.96,114.06,121.12,22.17
7-16-S-3b,28.19,27.83,25.47,28.68,15.22
7-16-S-3c,158.26,136.68,133.64,150.02,17.91
7-17-S-3a,12.46,11.11,10.11,11.81,13.63
7-17-S-3b,22.20,23.14,20.61,27.34,12.96
7-17-S-3c,9.42,10.53,9.20,11.75,13.32
7-18-S-3a,66.31,60.78,59.69,66.26,16.12
7-18-S-3b,180.13,160.20,152.37,158.10,13.99
7-18-S-3c,673.79,589.09,546.02,585.86,23.69
14-16-S-1A,125.23,125.96,114.06,121.12,22.17
14-16-S-1B,28.19,27.83,25.47,28.68,15.22
14-16-S-1C,158.26,136.68,133.64,150.02,17.91
14-17-S-1A,12.46,11.11,10.11,11.81,13.63
14-17-S-1B,22.20,23.14,20.61,27.34,12.96
14-17-S-1C,9.42,10.53,9.20,11.75,13.32
14-18-S-1A,66.31,60.78,59.69,66.26,16.12
14-18-S-1B,180.13,160.20,152.37,158.10,13.99
14-18-S-1C,673.79,589.09,546.02,585.86,23.69
42-16-S-1A,577.68,600.39,548.48,580.97,22.55
42-16-S-1B,15.19,10.93,9.96,11.78,17.70
42-16-S-1C,1190.44,994.18,982.62,982.91,11.40
42-17-S-1A,1.02,3.13,3.02,2.99,11.78
42-17-S-1B,7.07,8.73,8.55,8.49,8.66
42-17-S-1C,159.66,149.79,141.20,156.18,7.88
42-18-S-1A,127.94,121.46,120.46,121.42,14.27
42-18-S-1B,5.14,5.30,4.41,5.59,17.78
42-18-S-1C,152.90,134.93,131.30,123.86,17.24
90-16-2S-A,178.48,170.62,162.11,162.57,6.95
90-16-2S-B,153.54,139.87,139.17,152.63,5.80
90-16-2S-C,166.96,157.37,155.70,177.50,5.22
90-17-2S-A,177.65,203.77,188.35,212.23,8.75
90-17-2S-B,12.60,12.99,12.28,15.06,10.74
90-17-2S-C,73.91,82.00,80.80,95.91,9.06
90-18-2S-A,16.85,16.18,16.35,16.54,9.40
90-18-2S-B,195.18,187.21,187.10,198.25,8.13
90-18-2S-C,136.36,114.08,107.59,117.44,8.38
1yr-16-sa-top-1,10.66,7.65,7.98,7.99,10.04
1yr-16-sa-top-2,7.53,54.78,53.46,53.23,61.03
1yr-16-sa-top-3,10.56,49.84,39.01,39.93,41.49
1yr-16-sa-top-4,7.68,4.77,4.72,4.51,5.02
1yr-16-sa-top-5,8.24,2.93,2.92,3.01,3.45
1yr-16-sa-top-6,9.94,18.95,16.47,16.19,16.97
1yr-17-sa-top-1,10.39,21.41,19.82,19.06,21.73
1yr-17-sa-top-2,13.23,6.21,6.52,6.28,6.91
1yr-17-sa-top-3,7.65,0.36,0.40,0.43,0.51
1yr-17-sa-top-4,8.45,0.70,0.87,0.94,1.31
1yr-17-sa-top-5,10.99,13.51,13.69,13.08,15.68
1yr-17-sa-top-6,11.44,14.84,16.44,16.16,19.53
1yr-18-sa-top-1,9.57,31.38,30.89,31.28,35.71
1yr-18-sa-top-2,9.06,13.12,11.89,11.99,12.11
1yr-18-sa-top-3,11.83,107.57,107.33,109.37,117.17
1yr-18-sa-top-4,8.64,6.97,6.66,6.52,7.79
1yr-18-sa-top-5,10.99,17.01,15.66,15.30,16.48
1yr-18-sa-top-6,9.37,11.93,11.20,11.42,12.41
1yr-16-sa-deep-1,9.42,7.02,7.06,6.97,8.62
1yr-16-sa-deep-2,7.04,5.30,5.52,5.49,7.04
1yr-16-sa-deep-3,7.69,23.46,18.16,18.70,19.63
1yr-16-sa-deep-4,10.17,3.96,4.06,3.91,4.48
1yr-16-sa-deep-5,8.83,1.00,1.02,1.10,1.29
1yr-16-sa-deep-6,10.76,7.97,7.20,7.23,7.65
1yr-17-sa-deep-1,10.03,5.92,5.68,5.45,6.32
1yr-17-sa-deep-2,7.60,1.03,1.06,1.05,1.16
1yr-17-sa-deep-3,13.50,0.38,0.39,0.45,0.56
1yr-17-sa-deep-4,9.84,0.28,0.38,0.46,0.66
1yr-17-sa-deep-5,10.52,19.67,19.75,18.83,21.99
1yr-17-sa-deep-6,9.59,2.11,2.36,2.36,2.92
1yr-18-sa-deep-1,12.90,2.84,3.17,3.17,3.92
1yr-18-sa-deep-2,9.38,2.40,2.31,2.44,2.63
1yr-18-sa-deep-3,11.47,47.09,47.06,48.12,51.65
1yr-18-sa-deep-4,9.30,4.74,4.37,4.29,4.93
1yr-18-sa-deep-5,14.46,3.55,3.34,3.38,4.14
1yr-18-sa-deep-6,8.84,2.05,1.92,2.00,2.34
1yr-16-st-1,11.54,1.93,2.02,1.96,1.98
1yr-16-st-2,12.52,3.66,3.63,3.40,3.40
1yr-16-st-3,14.13,8.74,7.86,7.35,7.64
1yr-16-st-4,7.53,0.51,0.60,0.71,0.80
1yr-16-st-5,9.12,0.34,0.46,0.54,0.62
1yr-16-st-6,8.18,0.32,0.42,0.50,0.60
1yr-17-st-1,9.33,0.30,0.34,0.44,0.45
1yr-17-st-2,9.61,0.11,0.12,0.16,0.16
1yr-17-st-3,9.16,0.06,0.05,0.08,0.05
1yr-17-st-4,10.78,15.26,12.37,11.82,11.59
1yr-17-st-5,12.60,49.87,43.42,40.92,40.41
1yr-17-st-6,10.23,4.94,4.43,4.18,4.12
1yr-18-st-1,7.56,1.15,1.35,1.39,1.44
1yr-18-st-2,9.29,0.29,0.36,0.42,0.47
1yr-18-st-3,7.29,0.27,0.33,0.39,0.45
1yr-18-st-4,11.79,17.40,17.31,16.66,16.54
1yr-18-st-5,12.26,32.54,29.80,29.16,28.09
1yr-18-st-6,13.08,96.50,90.60,91.94,82.53
1yr-16-su-1,7.16,0.05,0.06,0.06,0.12
1yr-16-su-2,11.79,0.05,0.12,0.05,0.20
1yr-16-su-3,10.47,0.03,0.05,0.05,0.15
1yr-17-su-1,8.82,0.03,0.09,0.04,0.15
1yr-17-su-2,9.59,0.03,0.08,0.04,0.15
1yr-17-su-3,8.22,0.05,0.07,0.07,0.09
1yr-18-su-1,8.80,0.08,0.12,0.13,0.23
1yr-18-su-3,7.71,0.09,0.13,0.14,0.17
AC52-16-s-1,11.98,56.87,59.24,56.29,60.62
AC52-16-s-2,11.91,6.28,6.43,6.45,7.11
AC52-16-s-3,10.66,45.13,46.05,45.20,49.71
AC52-16-s-4,12.56,5.78,5.95,5.77,7.04
AC52-16-s-5,12.64,27.03,28.06,27.75,36.03
AC52-16-s-6,12.54,92.47,82.66,82.90,93.36
AC52-17-s-1,10.64,16.40,16.26,15.43,20.22
AC52-17-s-2,12.74,72.97,69.48,65.72,75.70
AC52-17-s-3,18.40,11.78,13.02,12.59,15.38
AC52-17-s-4,11.13,18.44,18.52,18.04,21.55
AC52-17-s-5,12.14,164.32,173.35,163.34,188.20
AC52-17-s-6,10.31,18.81,20.49,20.09,24.27
AC52-18-s-1,10.96,42.62,41.10,42.41,47.46
AC52-18-s-2,10.17,5.66,5.28,5.34,5.06
AC52-18-s-3,13.58,25.22,22.84,23.56,24.11
AC52-18-s-4,12.79,72.58,71.18,67.79,81.16
AC52-18-s-5,12.76,81.43,73.39,71.94,75.51
AC52-18-s-6,13.89,119.41,110.50,110.34,119.52
