site name,site code,biome_id,biome_name,environmental_feature_id,environmental_feature_name
NH00-0019,A,,,,
NH00-0057,A,,,,
NH00-0063,A,,,,
NH00-0067,C,,,,
NH00-0013,A,,,,
NH00-0015,A,,,,
NH00-0025,A,,,,
RI00-0061,A,,,,
RI00-0063,A,,,,
NH00-0035,A,,,,
RI00-0075,A,,,,
RI00-0077,A,,,,
NH00-0051,A,,,,
NJ00-0007,A,,,,
NJ00-0009,A,,,,
RI00-0069,A,,,,
RI00-0073,A,,,,
RI00-0081,A,,,,
RI00-0065,A,,,,
RI00-0067,A,,,,
RI00-0083,A,,,,
NH00-0049,A,,,,
NJ00-0059,A,,,,
NJ00-0015,A,,,,
CT00-0001,A,,,,
NJ00-0001,A,,,,
NJ00-0005,A,,,,
NJ00-0057,A,,,,
ME00-0005,A,,,,
NJ00-0053,A,,,,
CT00-0013,B,,,,
ME00-0029,A,,,,
ME00-0063,B,,,,
NJ00-0049,A,,,,
ME00-0021,A,,,,
ME00-0023,C,,,,
ME00-0019,C,,,,
NJ00-0021,A,,,,
NJ00-0023,A,,,,
CT00-0011,B,,,,
CT00-0017,A,,,,
NJ00-0047,A,,,,
CT00-0015,A,,,,
MA00-0137,A,,,,
MA00-0139,A,,,,
MA00-0141,A,,,,
MA00-0143,A,,,,
MA00-0145,A,,,,
NJ00-0041,A,,,,
MA00-0091,A,,,,
MA00-0093,A,,,,
MA00-0095,A,,,,
MA00-0097,A,,,,
MA00-0099,A,,,,
MA00-0101,A,,,,
MA00-0103,A,,,,
MA00-0105,A,,,,
MA00-0107,A,,,,
MA00-0109,A,,,,
MA00-0111,A,,,,
NJ00-0027,A,,,,
NY00-0099,A,,,,
NY00-0103,A,,,,
MA00-0113,A,,,,
MA00-0115,A,,,,
MA00-0117,A,,,,
MA00-0119,A,,,,
MA00-0121,A,,,,
NJ00-0017,A,,,,
NY00-0095,A,,,,
MA00-0123,A,,,,
NJ00-0085,A,,,,
NY00-0093,B,,,,
NY00-0097,A,,,,
NY00-0113,A,,,,
NJ00-0089,A,,,,
NJ00-0093,A,,,,
CT00-0005,A,,,,
CT00-0057,A,,,,
CT00-0061,A,,,,
NJ00-0095,C,,,,
MA00-0125,A,,,,
MA00-0127,A,,,,
MA00-0129,A,,,,
MA00-0131,A,,,,
MA00-0133,A,,,,
MA00-0135,A,,,,
NJ00-0091,A,,,,
NJ00-0097,A,,,,
NY00-0109,A,,,,
NY00-0111,A,,,,
RI00-0041,A,,,,
RI00-0047,A,,,,
DE00-0069,B,,,,
CT00-0065,A,,,,
CT00-0067,A,,,,
DE00-0059,A,,,,
PA00-0003,C,,,,
DE00-0037,A,,,,
DE00-0065,B,,,,
NJ00-0061,A,,,,
NJ00-0067,A,,,,
NY00-0047,A,,,,
NY00-0055,A,,,,
DE00-0053,A,,,,
NY00-0039,A,,,,
NY00-0049,A,,,,
DE00-0051,A,,,,
NY00-0027,A,,,,
NY00-0029,A,,,,
NY00-0021,A,,,,
NY00-0022,B,,,,
DE00-0039,A,,,,
DE00-0009,A,,,,
NJ00-0073,A,,,,
NJ00-0075,A,,,,
DE00-0047,A,,,,
DE00-0049,A,,,,
NJ00-0079,A,,,,
DE00-0017,A,,,,
NJ00-0065,A,,,,
DE00-0003,A,,,,
NJ01-0056,A,,,,
NJ01-0032,A,,,,
NY01-0058,A,,,,
NJ01-0026,A,,,,
NY01-0060,A,,,,
NY01-0068,A,,,,
NY01-0054,B,,,,
NY01-0056,A,,,,
NJ01-0052,A,,,,
NY01-0046,A,,,,
NY01-0048,A,,,,
NY01-0050,A,,,,
NJ01-0046,A,,,,
NJ01-0048,A,,,,
NY01-0042,A,,,,
NY01-0040,A,,,,
NY01-0028,A,,,,
DE01-0066,A,,,,
DE01-0068,A,,,,
DE01-0058,A,,,,
DE01-0060,A,,,,
DE01-0036,A,,,,
DE01-0038,A,,,,
DE01-0064,A,,,,
NY01-0002,A,,,,
NY01-0006,A,,,,
NY01-0008,A,,,,
NY01-0012,B,,,,
NY01-0014,A,,,,
NY01-0016,A,,,,
NJ01-0044,A,,,,
NY01-0018,A,,,,
NY01-0020,B,,,,
NY01-0026,A,,,,
NJ01-0088,A,,,,
NH01-0044,C,,,,
NH01-0048,A,,,,
NJ01-0068,A,,,,
NJ01-0072,A,,,,
NH01-0034,C,,,,
NH01-0042,A,,,,
NH01-0056,B,,,,
NH01-0052,A,,,,
NJ01-0034,A,,,,
NJ01-0002,A,,,,
CT01-0050,A,,,,
CT01-0052,A,,,,
NJ01-0066,B,,,,
CT01-0054,A,,,,
DE01-0008,A,,,,
CT01-0058,A,,,,
CT01-0014,A,,,,
DE01-0026,A,,,,
NJ01-0082,A,,,,
NJ01-0086,A,,,,
CT01-0064,A,,,,
CT01-0062,A,,,,
NJ01-0006,A,,,,
PA01-0004,A,,,,
CT01-0012,A,,,,
CT01-0072,A,,,,
NJ01-0024,A,,,,
CT01-0018,A,,,,
DE01-0040,A,,,,
DE01-0056,A,,,,
NJ01-0104,A,,,,
NJ01-0106,A,,,,
NJ01-0102,A,,,,
DE01-0050,A,,,,
DE01-0052,A,,,,
NJ01-0076,A,,,,
NJ01-0074,A,,,,
PA01-0002,A,,,,
DE01-0048,A,,,,
NJ01-0078,A,,,,
DE01-0072,A,,,,
NJ01-0114,A,,,,
NJ01-0118,A,,,,
NJ01-0080,A,,,,
NJ01-0012,A,,,,
ME02-1000,A,,,,
ME02-1001,B,,,,
RI02-0075,A,,,,
RI02-0065,A,,,,
RI02-0083,A,,,,
RI02-0069,A,,,,
RI02-0081,A,,,,
RI02-0061,A,,,,
RI02-0063,A,,,,
RI02-0071,A,,,,
RI02-0073,A,,,,
ME02-1002,A,,,,
ME02-1005,A,,,,
NY02-1017,A,,,,
NY02-1019,B,,,,
NY02-1022,A,,,,
ME02-1006,A,,,,
NY02-1002,B,,,,
NY02-1006,A,,,,
ME02-1008,A,,,,
NY02-1016,A,,,,
NY02-1021,A,,,,
DE02-0057,A,,,,
NY02-1003,A,,,,
NY02-1004,B,,,,
ME02-1009,A,,,,
NJ02-0081,A,,,,
NJ02-0249,A,,,,
NY02-1007,A,,,,
NY02-1015,A,,,,
DE02-0239,A,,,,
ME02-1010,A,,,,
ME02-1013,B,,,,
NH02-0051,A,,,,
NJ02-0251,A,,,,
NJ02-0253,A,,,,
NY02-0057,A,,,,
NY02-1026,A,,,,
NY02-1027,A,,,,
DE02-0053,A,,,,
DE02-0055,A,,,,
ME02-1011,A,,,,
NH02-0213,A,,,,
NY02-0260,A,,,,
NY02-1030,A,,,,
ME02-1014,B,,,,
NH02-0254,B,,,,
NH02-0256,A,,,,
ME02-1007,A,,,,
NH02-0206,A,,,,
NJ02-0073,A,,,,
NY02-0253,B,,,,
NY02-0258,A,,,,
NY02-0251,B,,,,
ME02-1017,A,,,,
NH02-0235,A,,,,
ME02-1015,A,,,,
ME02-1016,A,,,,
ME02-1031,C,,,,
ME02-1033,B,,,,
ME02-1034,A,,,,
ME02-1030,B,,,,
NJ02-0246,A,,,,
ME02-1027,A,,,,
ME02-1028,A,,,,
ME02-1029,A,,,,
DE02-0246,A,,,,
ME02-1023,A,,,,
DE02-0237,A,,,,
DE02-0251,A,,,,
ME02-1022,A,,,,
DE02-0241,A,,,,
ME02-1032,C,,,,
ME02-1019,A,,,,
ME02-1025,C,,,,
NJ02-0240,A,,,,
ME02-1018,A,,,,
NJ02-0238,A,,,,
NY02-0248,A,,,,
ME02-1021,A,,,,
NY02-0250,B,,,,
NJ02-0229,A,,,,
NY02-0029,A,,,,
NY02-0235,A,,,,
NJ02-0235,A,,,,
NY02-0223,A,,,,
NY02-0226,A,,,,
NY02-0229,A,,,,
NJ02-0013,A,,,,
NJ02-0208,A,,,,
NY02-0232,A,,,,
NY02-0237,A,,,,
NJ02-0200,A,,,,
NJ02-0203,A,,,,
NY02-0243,A,,,,
NY02-0006,A,,,,
NY02-0204,A,,,,
NY02-0242,A,,,,
NY02-0201,A,,,,
NJ02-0224,A,,,,
NY02-0019,B,,,,
NY02-0216,A,,,,
NH02-0245,A,,,,
NY02-0207,B,,,,
NY02-0210,A,,,,
PA02-0201,B,,,,
CT02-0229,A,,,,
CT02-0230,A,,,,
CT02-0231,A,,,,
CT02-0232,A,,,,
NJ02-0272,C,,,,
NY02-0282,A,,,,
NY02-0283,A,,,,
NH02-0247,A,,,,
NJ02-0264,A,,,,
NY02-0275,A,,,,
NY02-0279,A,,,,
NY02-0280,A,,,,
NJ02-0259,A,,,,
NY02-0278,A,,,,
NY02-0286,A,,,,
CT02-0227,A,,,,
NY02-0281,A,,,,
CT02-0228,A,,,,
NY02-0277,A,,,,
CT02-0221,A,,,,
CT02-0222,A,,,,
CT02-0223,A,,,,
CT02-0224,A,,,,
CT02-0225,A,,,,
CT02-0226,A,,,,
RI02-0056,B,,,,
RI02-0059,A,,,,
NY02-0276,A,,,,
NY02-0287,A,,,,
CT02-0220,A,,,,
NJ02-0268,A,,,,
NY02-0284,A,,,,
NY02-0285,A,,,,
NJ02-0205,A,,,,
NJ02-0206,A,,,,
ME03-1100,B,,,,
RI03-0371,A,,,,
RI03-0381,A,,,,
RI03-0361,A,,,,
ME03-1102,A,,,,
ME03-1003,A,,,,
ME03-1104,B,,,,
DE03-0242,A,,,,
DE03-0244,A,,,,
NH03-0253,B,,,,
DE03-0056,A,,,,
DE03-0240,A,,,,
NJ03-0080,A,,,,
NY03-0263,A,,,,
NY03-0268,A,,,,
ME03-1008,A,,,,
ME03-1106,A,,,,
NY03-0265,A,,,,
NY03-0269,A,,,,
NJ03-0074,A,,,,
NY03-0259,A,,,,
NY03-0249,A,,,,
NY03-0252,B,,,,
NY03-0255,A,,,,
DE03-0048,A,,,,
NY03-0230,A,,,,
NY03-0233,A,,,,
NY03-0224,A,,,,
NY03-0227,A,,,,
RI03-0375,A,,,,
