latitude,longitude,urban,state,site name,biome_id,biome_name,environmental_feature_id,environmental_feature_name
39.70013,-75.63339,Urban,DE,FW08DE005,,,,
44.24308,-72.04818,Non-urban,NH,FW08NH005,,,,
39.06637,-77.38956999999999,Urban,MD,FW08MD008,,,,
39.18483,-77.48623,Non-urban,MD,FW08MD024,,,,
42.84932,-72.55309,Urban,NH,FW08NH016,,,,
43.865809999999996,-72.17822,Non-urban,NH,FW08NH009,,,,
43.4303,-72.39501,Urban,NH,FW08NH017,,,,
43.06807,-72.4487,Non-urban,NH,FW08NH007,,,,
43.256040000000006,-71.6225,Urban,NH,FW08NH018,,,,
38.305620000000005,-78.90091,Non-urban,VA,FW08VA022,,,,
38.61817,-75.63091999999999,Urban,DE,FW08DE010,,,,
38.66814,-75.56031,Urban,DE,FW08DE014,,,,
38.6158,-77.16856,Urban,MD,FW08MD018,,,,
38.651720000000005,-77.12458000000001,Urban,MD,FW08MD014,,,,
39.59856,-77.88461,Urban,MD,FW08MD009,,,,
39.45734,-77.79813,Urban,MD,FW08MD020,,,,
39.17989,-77.50735999999999,Non-urban,MD,FW08MD012,,,,
41.87494,-71.09397,Urban,MA,FW08MA006,,,,
42.146029999999996,-77.05409,Urban,NY,FW08NY019,,,,
41.96179,-70.91978,Non-urban,MA,FW08MA002,,,,
42.20402,-72.59054,Urban,MA,FW08MA017,,,,
44.42155,-69.7056,Non-urban,ME,FW08ME022,,,,
44.501090000000005,-69.67614,Urban,ME,FW08ME026,,,,
37.59328,-79.38320999999999,Non-urban,VA,FW08VA026,,,,
42.065909999999995,-78.46921999999999,Urban,NY,FW08NY032,,,,
43.13767,-76.29551,Urban,NY,FW08NY034,,,,
43.35118,-72.39344,Urban,NH,FW08NH011,,,,
43.19317,-71.52351,Urban,NH,FW08NH010,,,,
44.31823,-72.72694,Urban,VT,FW08VT018,,,,
41.95756,-70.93361,Non-urban,MA,FW08MA018,,,,
41.57493,-73.41535,Urban,CT,FW08CT020,,,,
41.288709999999995,-77.34123000000001,Non-urban,PA,FW08PA023,,,,
42.47413,-73.78702,Urban,NY,FW08NY028,,,,
42.158840000000005,-72.57666,Urban,MA,FW08MA013,,,,
42.81381,-71.001,Urban,MA,FW08MA007,,,,
42.05576,-73.93195,Urban,NY,FW08NY044,,,,
43.79749,-72.5009,Non-urban,VT,FW08VT013,,,,
42.79337,-72.52476999999999,Non-urban,VT,FW08VT006,,,,
45.87867,-68.62034,Non-urban,ME,FW08ME017,,,,
41.25012,-74.85555,Non-urban,NJ,FW08NJ008,,,,
40.33696,-74.93851,Urban,NJ,FW08NJ009,,,,
45.257329999999996,-68.94966,Non-urban,ME,FW08ME021,,,,
43.65977,-72.33974,Urban,VT,FW08VT016,,,,
42.08065,-78.42363,Urban,NY,FW08NY030,,,,
42.828520000000005,-73.98933000000001,Urban,NY,FW08NY021,,,,
43.25553,-73.5864,Urban,NY,FW08NY040,,,,
40.88572,-76.80151,Urban,PA,FW08PA035,,,,
44.42187,-73.01538000000001,Non-urban,VT,FW08VT014,,,,
44.00309,-70.09861,Urban,ME,FW08ME027,,,,
43.24866,-73.74077,Non-urban,NY,FW08NY025,,,,
42.93558,-74.19445,Urban,NY,FW08NY037,,,,
44.87331,-71.52951999999999,Non-urban,NH,FW08NH020,,,,
43.3045,-76.3977,Urban,NY,FW08NY050,,,,
43.49885,-70.46423,Urban,ME,FW08ME019,,,,
44.489129999999996,-73.14832,Urban,VT,FW08VT011,,,,
42.02896,-76.39831,Non-urban,NY,FW08NY035,,,,
42.16144,-75.85678,Urban,NY,FW08NY023,,,,
44.73738,-67.54984,Non-urban,ME,FW08ME018,,,,
44.25928,-75.76743,Non-urban,NY,FW08NY027,,,,
42.42297,-75.63217,Non-urban,NY,FW08NY017,,,,
41.41992,-78.74775,Non-urban,PA,FW08PA015,,,,
42.34775,-75.69644,Non-urban,NY,FW08NY039,,,,
40.14318,-75.51026,Urban,PA,FW08PA030,,,,
