LAB SAMPLE ID,SITE_NAME,COLLECTION_DATE,Year_Month,SAMPLE TYPE,Experiment,Treatment,Treatment Class,Treatment Number,Plot,SAMPLE DEPTH LABEL,PARAMETER,VALUE,DL,UNITS,DL Flag,ANALYSIS COMMENT
PB10-8944,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Control-Initial,Control,1,,0-5,aCDOM280,166.0924,,"A, m-1",,
PB10-8956,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Sedimite-Initial,Sedimite,5,,0-5,aCDOM280,117.1376,,"A, m-1",,
PB10-8968,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Biochar-Initial,Biochar,4,Composite,0-5,aCDOM280,135.301,,"A, m-1",,
PB10-8980,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Lime-Initial,Lime,3,Composite,0-5,aCDOM280,156.9681,,"A, m-1",,
PB10-8992,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Iron-Initial,FeCl2,2,Composite,0-5,aCDOM280,127.9371,,"A, m-1",,
PB10-9004,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Control-Initial,Control,1,Composite,0-5,aCDOM280,163.5597,,"A, m-1",,Absorption curves not exponential
PB10-9016,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Sedimite-Initial,Sedimite,5,,0-5,aCDOM280,235.036,,"A, m-1",,
PB10-9016,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Sedimite-Initial,Sedimite,5,,0-5,aCDOM280,234.1728,,"A, m-1",,
PB10-9028,W21-UM-West-A,09/21/10,10.75,porewater,Biochar,Biochar-Initial,,4,0-3,Plot Amendments,aCDOM280,224.5,,"A, m-1",,
PB10-9040,W21-UM-West-A,09/21/10,10.75,porewater,Lime,Lime-Initial,,3,0-3,Plot Amendments,aCDOM280,210.4732,,"A, m-1",,Absorption curves not exponential
PB10-9052,W21-UM-West-A,09/21/10,10.75,porewater,FeCl2,Iron-Initial,,2,0-3,Plot Amendments,aCDOM280,152.6551,,"A, m-1",,
PB10-9086,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Lime,R1.1-Lime,,3,0-3,Plot Amendments,aCDOM280,227.9691,,"A, m-1",,
PB10-9099,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Biochar,R1.2-Biochar,,4,0-3,Plot Amendments,aCDOM280,202.8307,,"A, m-1",,
PB10-9112,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Control,R1.3-Control,,1,0-3,Plot Amendments,aCDOM280,139.888,,"A, m-1",,
PB10-9126,W21-UM-West-A,10/19/10,10.8333333333333,porewater,FeCl2,R1.4-FeCl2,,2,0-3,Plot Amendments,aCDOM280,54.26238,,"A, m-1",,
PB10-9139,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Sedimite,R1.5-Sedimite,,5,0-3,Plot Amendments,aCDOM280,170.3837,,"A, m-1",,
PB10-9152,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Sedimite,R2.1-Sedimite,,5,0-3,Plot Amendments,aCDOM280,154.7052,,"A, m-1",,
PB10-9166,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Biochar,R2.2-Biochar,,4,0-3,Plot Amendments,aCDOM280,275.4702,,"A, m-1",,
PB10-9179,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Lime,R2.3-Lime,,3,0-3,Plot Amendments,aCDOM280,195.1442,,"A, m-1",,
PB10-9192,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Control,R2.4-Control,,1,0-3,Plot Amendments,aCDOM280,166.1373,,"A, m-1",,
PB10-9206,W21-UM-West-A,10/19/10,10.8333333333333,porewater,FeCl2,R2.5-FeCl2,,2,0-3,Plot Amendments,aCDOM280,313.3928,,"A, m-1",,
PB10-9206,W21-UM-West-A,10/19/10,10.8333333333333,porewater,FeCl2,R2.5-FeCl2,,2,0-3,Plot Amendments,aCDOM280,313.1183,,"A, m-1",,
PB10-9219,W21-UM-West-A,10/19/10,10.8333333333333,porewater,FeCl2,R3.1-FeCl2,,2,0-3,Plot Amendments,aCDOM280,129.8322,,"A, m-1",,
PB10-9219,W21-UM-West-A,10/19/10,10.8333333333333,porewater,FeCl2,R3.1-FeCl2,,2,0-3,Plot Amendments,aCDOM280,130.4265,,"A, m-1",,
PB10-9232,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Control,R3.2-Control,,1,0-3,Plot Amendments,aCDOM280,195.5155,,"A, m-1",,
PB10-9246,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Biochar,R3.3-Biochar,,4,0-3,Plot Amendments,aCDOM280,372.5894,,"A, m-1",,
PB10-9259,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Sedimite,R3.4-Sedimite,,5,0-3,Plot Amendments,aCDOM280,134.2135,,"A, m-1",,
PB10-9272,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Lime,R3.5-Lime,,3,0-3,Plot Amendments,aCDOM280,456.1944,,"A, m-1",,
PB10-9286,W21-UM-Central-B,10/19/10,10.8333333333333,porewater,Lime,R1.1-Lime,,3,0-3,Plot Amendments,aCDOM280,140.225,,"A, m-1",,
PB10-9299,W21-UM-Central-B,10/19/10,10.8333333333333,porewater,Biochar,R1.2-Biochar,,4,0-3,Plot Amendments,aCDOM280,151.8884,,"A, m-1",,
PB10-9312,W21-UM-Central-B,10/19/10,10.8333333333333,porewater,Control,R1.3-Control,,1,0-3,Plot Amendments,aCDOM280,163.4148,,"A, m-1",,
PB10-9326,W21-UM-Central-B,10/19/10,10.8333333333333,porewater,FeCl2,R1.4-FeCl2,,2,0-3,Plot Amendments,aCDOM280,41.2631,,"A, m-1",,
